Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Type","Bidirectional Channels","Voltage - Reverse Standoff (Typ)","Voltage - Breakdown (Min)","Voltage - Clamping (Max) @ Ipp","Current - Peak Pulse (10/1000µs)","Power - Peak Pulse","Power Line Protection","Applications","Capacitance @ Frequency","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package","Grade","Qualification","URL"
"https://www.comchiptech.com/admin/files/product/CPDT-12V RevB364124.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6349/641%7ESOT23-3%7E%7E3.jpg","641-1398-2-ND,641-1398-1-ND,641-1398-6-ND","CPDT-12V","Comchip Technology","Comchip Technology","TVS DIODE 12VWM 25VC SOT23-3","9,338","0.73","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","2","12V","13V","25V","1A (8/20µs)","25W","No","General Purpose","-","-","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3","-","-","https://www.digikey.com/en/products/detail/comchip-technology/CPDT-12V/2075734"
"https://www.comchiptech.com/admin/files/product/CPDT6-5V4-HF RevC831377.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6349/641%7ESOT23-6%7E%7E6.jpg","641-1086-2-ND,641-1086-1-ND,641-1086-6-ND","CPDT6-5V4-HF","Comchip Technology","Comchip Technology","TVS DIODE 5VWM 15VC SOT23-6","102,115","0.78","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","4","5V","5.1V","15V","5A (8/20µs)","75W","No","General Purpose","-","-","Surface Mount","SOT-23-6","SOT-23-6","-","-","https://www.digikey.com/en/products/detail/comchip-technology/CPDT6-5V4-HF/1121118"
"https://www.comchiptech.com/admin/files/product/CPDT-24V-HF Rev B183718.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6349/641%7ESOT23-3%7E%7E3.jpg","641-1399-2-ND,641-1399-1-ND,641-1399-6-ND","CPDT-24V","Comchip Technology","Comchip Technology","TVS DIODE 24VWM 47VC SOT23-3","9,326","0.77","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","2","24V","25V","47V","1A (8/20µs)","47W","No","General Purpose","-","-","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3","-","-","https://www.digikey.com/en/products/detail/comchip-technology/CPDT-24V/2075735"
"https://www.comchiptech.com/admin/files/product/CPDT6-24V4-HF RevB592145.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6349/641%7ESOT23-6%7E%7E6.jpg","641-1087-2-ND,641-1087-1-ND,641-1087-6-ND","CPDT6-24V4-HF","Comchip Technology","Comchip Technology","TVS DIODE 24VWM 47VC SOT23-6","11,671","1.57","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","4","24V","25V","47V","1A (8/20µs)","47W","No","General Purpose","-","-","Surface Mount","SOT-23-6","SOT-23-6","-","-","https://www.digikey.com/en/products/detail/comchip-technology/CPDT6-24V4-HF/1121119"
"https://www.comchiptech.com/admin/files/product/12028_20190315103021.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6387/641%7E0402C-03%28SOT883%29%7E%7E3.jpg","641-2047-2-ND,641-2047-1-ND,641-2047-6-ND","CPDQ03C5V0HP-HF","Comchip Technology","Comchip Technology","TVS DIODE 5VWM 15VC 0402C03","4,396","0.35","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","2","5V (Max)","5.5V","15V","3A (8/20µs)","45W","No","General Purpose","6pF @ 1MHz","-40°C ~ 125°C (TJ)","Surface Mount","SC-101, SOT-883","0402C-03/SOT-883","-","-","https://www.digikey.com/en/products/detail/comchip-technology/CPDQ03C5V0HP-HF/10106877"
"https://www.comchiptech.com/admin/files/product/CPDT-5V0-HF RevC341466.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6349/641%7ESOT23-3%7E%7E3.jpg","641-1198-2-ND,641-1198-1-ND,641-1198-6-ND","CPDT-5V0-HF","Comchip Technology","Comchip Technology","TVS DIODE 5VWM 15VC SOT23-3","14,853","0.88","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","2","5V","5.1V","15V","5A (8/20µs)","75W","No","General Purpose","-","-","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3","-","-","https://www.digikey.com/en/products/detail/comchip-technology/CPDT-5V0-HF/1559042"
"https://www.comchiptech.com/admin/files/product/QW-JP020%20CPDT-12V-HF%20RevC.PDF","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6349/641%7ESOT23-3%7E%7E3.jpg","641-CPDT-12V-HFTR-ND,641-CPDT-12V-HFCT-ND,641-CPDT-12V-HFDKR-ND","CPDT-12V-HF","Comchip Technology","Comchip Technology","TVS DIODE 12VWM 25VC SOT23-3","2,730","0.66","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","2","12V","13V","25V","1A (8/20µs)","25W","No","General Purpose","12pF @ 1MHz","125°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3","-","-","https://www.digikey.com/en/products/detail/comchip-technology/CPDT-12V-HF/24759467"
"https://www.comchiptech.com/admin/files/product/QW-G7117%20CPDA10C60VB-HF%20RevB.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4847/600_10-UFDFN.jpg","641-CPDA10C60VB-HFTR-ND,641-CPDA10C60VB-HFCT-ND,641-CPDA10C60VB-HFDKR-ND","CPDA10C60VB-HF","Comchip Technology","Comchip Technology","TVS DIODE 60VWM 110VC DFN251010","2,870","0.83","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","4","60V (Max)","65V","110V","1.8A (8/20µs)","198W","No","General Purpose","6pF @ 1MHz","-55°C ~ 150°C (TJ)","Surface Mount","10-UFDFN","DFN2510-10","-","-","https://www.digikey.com/en/products/detail/comchip-technology/CPDA10C60VB-HF/16276403"
"https://www.comchiptech.com/admin/files/product/ACPDT-24V%20RevA.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6349/641%7ESOT23-3%7E%7E3.jpg","641-1671-2-ND,641-1671-1-ND,641-1671-6-ND","ACPDT-24V","Comchip Technology","Comchip Technology","TVS DIODE 24VWM 47VC SOT23-3","307","0.93","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","2","24V","25V","47V","1A (8/20µs)","47W","No","-","10pF @ 1MHz","-","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3","Automotive","AEC-Q101","https://www.digikey.com/en/products/detail/comchip-technology/ACPDT-24V/5034505"
"https://www.comchiptech.com/admin/files/product/CPDT-24V-HF Rev B183718.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6349/641%7ESOT23-3%7E%7E3.jpg","641-1197-2-ND,641-1197-1-ND,641-1197-6-ND","CPDT-24V-HF","Comchip Technology","Comchip Technology","TVS DIODE 24VWM 47VC SOT23-3","57","0.77","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","2","24V","25V","47V","1A (8/20µs)","47W","No","General Purpose","-","-","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3","-","-","https://www.digikey.com/en/products/detail/comchip-technology/CPDT-24V-HF/1559041"
