"Product Group","Status","Compliance","Interface","Number of Lines","Direction","C Max (pF)","V(BR) Min (V)","VRWM Max (V)","IR Max (µA)","PPK Max (W)","Package Size (mm)","Package Type","MSL Type","MSL Temp (°C)","Reference Price",
"BZG03C150G","Active","H Pb   ","-, ","-, ","-, ","-, ","-, ","-, ","-, ","-, ","2.60 x 5.10 x 1.00, ","SMA-2 ","1 ","260 ","0.0984 ",
"BZG03C15G","Active","H Pb   ","-, ","-, ","-, ","-, ","-, ","-, ","-, ","-, ","2.60 x 5.10 x 1.00, ","SMA-2 ","1 ","260 ","0.1268 ",
"SZCM1213A-04SO","Active","H Pb A P ","DVI, HDMI 2.0, USB 2.0, ","4, ","Unidirectional, ","2, ","6, ","3.3, ","1, ","0.225, ","3.00 x 2.75 x 1.00, ","SC-74 ","1 ","260 ","0.352 ",
"CM1213A-04SO","Active","H Pb   ","DVI, HDMI 1.2, USB 2.0, ","4, ","Unidirectional, ","2, ","6, ","3.3, ","1, ","0.225, ","3.00 x 2.75 x 1.00, ","SC-74 ","1 ","260 ","0.1469 ",
"CM1216-08MR","Consult Sales Office","H Pb   ","DVI, HDMI 1.2, ","8, ","Unidirectional, ","2, ","6, ","5.5, ","1, ","0.4, ","3.00 x 4.90 x 1.10, ","MSOP-10 ","1 ","260 ","0.0 ",
"CM1248-04QG","Consult Sales Office","H Pb   ","General I/O, ","4, ","Unidirectional, ","13, ","-, ","5, ","0.75, ","-, ","1.25 x 1.00 x 0.50, ","UDFN-6 ","1 ","260 ","0.0 ",
"CM1248-08DE","Consult Sales Office","H Pb   ","General I/O, ","8, ","Unidirectional, ","15, ","-, ","5.5, ","0.25, ","-, ","1.70 x 1.35 x 0.50, ","UDFN-8 ","1 ","260 ","0.0 ",
"CM1250-04QG","Consult Sales Office","H Pb   ","General I/O, ","4, ","Unidirectional, ","7, ","6.1, ","3.5, ","0.1, ","-, ","1.25 x 1.00 x 0.50, ","UDFN-6 ","1 ","260 ","0.0 ",
"CM1293A-04SO","Active","H Pb   ","General I/O, USB 2.0, ","4, ","Unidirectional, ","2, ","7.3, ","5.5, ","1, ","0.225, ","3.00 x 2.75 x 1.00, ","SC-74 ","1 ","260 ","0.0327 ",
"CM1641-04D4","Consult Sales Office","H Pb   ","General I/O, ","4, ","Unidirectional, ","1.5, ","6.8, ","5, ","0.1, ","-, ","1.70 x 1.35 x 0.50, ","UDFN-8 ","1 ","260 ","0.0 ",
"DF3A6.8FUT1G","Active","H Pb   ","General I/O, ","2, ","Unidirectional, ","-, ","6.4, ","5, ","0.5, ","20, ","2.00 x 2.10 x 0.90, ","SC-70-3 / SOT-323-3 ","1 ","260 ","0.0691 ",
"SZDF6A6.8FUT1G","Active","H Pb A P ","General I/O, ","4, ","Unidirectional, ","40, ","6.4, ","5, ","1, ","75, ","2.00 x 2.10 x 1.10, ","SC-88-6 / SC-70-6 / SOT-363-6 ","1 ","260 ","0.0928 ",
"DF6A6.8FUT1G","Active","H Pb   ","General I/O, ","4, ","Unidirectional, ","40, ","6.4, ","5, ","1, ","75, ","2.00 x 2.10 x 1.10, ","SC-88-6 / SC-70-6 / SOT-363-6 ","1 ","260 ","0.1327 ",
"DF6A6.8FUT2G","Active","H Pb   ","General I/O, ","4, ","Unidirectional, ","40, ","6.4, ","5, ","1, ","75, ","2.00 x 2.10 x 1.10, ","SC-88-6 / SC-70-6 / SOT-363-6 ","1 ","260 ","0.1327 ",
"SZESD1L001W1T2G","Active","H Pb A P ","Ethernet (10/100, Gigabit), USB 2.0, ","4, ","Unidirectional, ","0.5, ","16.5, ","16, ","1, ","-, ","2.00 x 2.10 x 1.10, ","SC-88-6 / SC-70-6 / SOT-363-6 ","1 ","260 ","0.2227 ",
"ESD4238MTTAG","Consult Sales Office","H Pb   ","DVI, HDMI 1.2, ","8, ","Unidirectional, ","-, ","5, ","5.5, ","1, ","-, ","4.00 x 1.60 x 0.75, ","WDFN-16 ","1 ","260 ","0.0 ",
"ESD5101FCT5G","Active","H Pb   ","Audio, General I/O, ","1, ","Bidirectional, ","5.5, ","3.68, ","3.3, ","1, ","15, ","0.435 x 0.23 x 0.18, ","DSN-2 ","1 ","260 ","0.0671 ",
"ESD5111PFCT5G","Active","H Pb   ","Audio, General I/O, ","1, ","Bidirectional, ","5.5, ","3.68, ","3.3, ","1, ","23, ","0.60 x 0.30 x 0.20, ","DFN-2 ","1 ","260 ","0.032 ",
"SESD5481MUT5G","Active","H Pb   ","General I/O, ","1, ","Bidirectional, ","15, ","5.7, ","5, ","1, ","10.7, ","0.62 x 0.32 x 0.29, ","X3DFN-2 ","1 ","260 ","0.0396 ",
"ESD5481MUT5G","Active","H Pb   ","General I/O, ","1, ","Bidirectional, ","15, ","5.7, ","5, ","1, ","10.7, ","0.62 x 0.32 x 0.29, ","X3DFN-2 ","1 ","260 ","0.0213 ",
"ESD5581N2T5G","Consult Sales Office","H Pb   ","General I/O, ","1, ","Bidirectional, ","10, ","5.2, ","5, ","0.1, ","-, ","1.00 x 0.60 x 0.37, ","X2DFN-2 ","1 ","260 ","0.0 ",
