"Product Group","Status","Compliance","VZ Typ (V)","P Max (W)","Package Size (mm)","Package Type","MSL Type","MSL Temp (°C)","Reference Price",
"1N4743A","Active","H Pb   ","13, ","1, ","4.63 x 2.37 x 2.37, ","Axial Lead / DO-41 ","NA ","0 ","0.032 ",
"1N4742A","Active","H Pb   ","12, ","1, ","4.63 x 2.37 x 2.37, ","Axial Lead / DO-41 ","NA ","0 ","0.032 ",
"1N4745A","Active","H Pb   ","16, ","1, ","4.63 x 2.37 x 2.37, ","Axial Lead / DO-41 ","NA ","0 ","0.032 ",
"1N4746A","Active","H Pb   ","18, ","1, ","4.63 x 2.37 x 2.37, ","Axial Lead / DO-41 ","NA ","0 ","0.032 ",
"1N4744A","Active","H Pb   ","15, ","1, ","4.63 x 2.37 x 2.37, ","Axial Lead / DO-41 ","NA ","0 ","0.032 ",
"1N4738A-T50A","Active","H Pb   ","8.2, ","1, ","4.63 x 2.37 x 2.37, ","Axial Lead / DO-41 ","NA ","0 ","0.032 ",
"1N4736ATR","Active","H Pb   ","6.8, ","1, ","4.63 x 2.37 x 2.37, ","Axial Lead / DO-41 ","NA ","0 ","0.032 ",
"1N4748A","Active","H Pb   ","22, ","1, ","4.63 x 2.37 x 2.37, ","Axial Lead / DO-41 ","NA ","0 ","0.032 ",
"1N4748ATR","Active","H Pb   ","22, ","1, ","4.63 x 2.37 x 2.37, ","Axial Lead / DO-41 ","NA ","0 ","0.032 ",
"1N4747A","Active","H Pb   ","20, ","1, ","4.63 x 2.37 x 2.37, ","Axial Lead / DO-41 ","NA ","0 ","0.032 ",
"1N4749A","Active","H Pb   ","24, ","1, ","4.63 x 2.37 x 2.37, ","Axial Lead / DO-41 ","NA ","0 ","0.032 ",
"1N4747A-T50A","Active","H Pb   ","20, ","1, ","4.63 x 2.37 x 2.37, ","Axial Lead / DO-41 ","NA ","0 ","0.032 ",
"1N4754A-T50A","Active","H Pb   ","39, ","1, ","4.63 x 2.37 x 2.37, ","Axial Lead / DO-41 ","NA ","0 ","0.032 ",
"1N4744ATR","Active","H Pb   ","15, ","1, ","4.63 x 2.37 x 2.37, ","Axial Lead / DO-41 ","NA ","0 ","0.032 ",
"1N4732ATR","Active","H Pb   ","4.7, ","1, ","4.63 x 2.37 x 2.37, ","Axial Lead / DO-41 ","NA ","0 ","0.032 ",
"1N4752ATR","Active","H Pb   ","33, ","1, ","4.63 x 2.37 x 2.37, ","Axial Lead / DO-41 ","NA ","0 ","0.032 ",
"1N4740ATR","Active","H Pb   ","10, ","1, ","4.63 x 2.37 x 2.37, ","Axial Lead / DO-41 ","NA ","0 ","0.032 ",
"1N4751A-T50A","Active","H Pb   ","30, ","1, ","4.63 x 2.37 x 2.37, ","Axial Lead / DO-41 ","NA ","0 ","0.032 ",
"1N4751A","Active","H Pb   ","30, ","1, ","4.63 x 2.37 x 2.37, ","Axial Lead / DO-41 ","NA ","0 ","0.032 ",
"1N4733A-T50A","Active","H Pb   ","5.1, ","1, ","4.63 x 2.37 x 2.37, ","Axial Lead / DO-41 ","NA ","0 ","0.032 ",
"1N4736A-T50A","Active","H Pb   ","6.8, ","1, ","4.63 x 2.37 x 2.37, ","Axial Lead / DO-41 ","NA ","0 ","0.032 ",
"1N4750A","Active","H Pb   ","27, ","1, ","4.63 x 2.37 x 2.37, ","Axial Lead / DO-41 ","NA ","0 ","0.032 ",
"1N4735A-T50A","Active","H Pb   ","6.2, ","1, ","4.63 x 2.37 x 2.37, ","Axial Lead / DO-41 ","NA ","0 ","0.032 ",
"1N4753A","Active","H Pb   ","36, ","1, ","4.63 x 2.37 x 2.37, ","Axial Lead / DO-41 ","NA ","0 ","0.032 ",
"1N4739ATR","Active","H Pb   ","9.1, ","1, ","4.63 x 2.37 x 2.37, ","Axial Lead / DO-41 ","NA ","0 ","0.032 ",
"1N4752A","Active","H Pb   ","33, ","1, ","4.63 x 2.37 x 2.37, ","Axial Lead / DO-41 ","NA ","0 ","0.032 ",
